json_file,audio_value,basename,exists_on_disk
God With Us_Free.json,"04_meditating_peace.mp3","04_meditating_peace.mp3",NO
God With Us_Free.json,"05_reading_holy_texts.mp3","05_reading_holy_texts.mp3",NO
God With Us_Free.json,"06_writing_thoughts.mp3","06_writing_thoughts.mp3",NO
God With Us_VIP1.json,"01_praying_inner.mp3","01_praying_inner.mp3",NO
God With Us_VIP1.json,"02_spiritual_bonds.mp3","02_spiritual_bonds.mp3",NO
God With Us_VIP1.json,"03_divine_trust.mp3","03_divine_trust.mp3",NO
God With Us_VIP1.json,"04_meditation_guidance.mp3","04_meditation_guidance.mp3",NO
God With Us_VIP1.json,"05_scripture_study.mp3","05_scripture_study.mp3",NO
God With Us_VIP1.json,"06_journaling_insights.mp3","06_journaling_insights.mp3",NO
God With Us_VIP2.json,"01_resilient_prayer.mp3","01_resilient_prayer.mp3",NO
God With Us_VIP2.json,"02_sacred_connections.mp3","02_sacred_connections.mp3",NO
God With Us_VIP2.json,"03_divine_timing.mp3","03_divine_timing.mp3",NO
God With Us_VIP2.json,"04_meditation_clarity.mp3","04_meditation_clarity.mp3",NO
God With Us_VIP2.json,"05_scripture_insight.mp3","05_scripture_insight.mp3",NO
God With Us_VIP2.json,"06_faith_reflection.mp3","06_faith_reflection.mp3",NO
God With Us_VIP3.json,"01_divine_fortitude.mp3","01_divine_fortitude.mp3",NO
God With Us_VIP3.json,"02_transcendent_bonds.mp3","02_transcendent_bonds.mp3",NO
God With Us_VIP3.json,"03_cosmic_purpose.mp3","03_cosmic_purpose.mp3",NO
God With Us_VIP3.json,"04_celestial_meditation.mp3","04_celestial_meditation.mp3",NO
God With Us_VIP3.json,"05_divine_scripture.mp3","05_divine_scripture.mp3",NO
God With Us_VIP3.json,"06_eternal_plan.mp3","06_eternal_plan.mp3",NO
Human Right_VIP3.json,"/audio/en/Deepening_Human_Rights_Awareness_VIP3.mp3","Deepening_Human_Rights_Awareness_VIP3.mp3",NO
Human Right_VIP3.json,"/audio/en/Advocating_for_Justice_Actively_VIP3.mp3","Advocating_for_Justice_Actively_VIP3.mp3",NO
Human Right_VIP3.json,"/audio/en/Fostering_Equality_through_Solidarity_VIP3.mp3","Fostering_Equality_through_Solidarity_VIP3.mp3",NO
Mental Health_VIP1.json,"01_deep_breathing.mp3","01_deep_breathing.mp3",NO
Mental Health_VIP1.json,"02_positive_self_talk.mp3","02_positive_self_talk.mp3",NO
Mental Health_VIP1.json,"03_calm_walk.mp3","03_calm_walk.mp3",NO
Mental Health_VIP1.json,"04_mindful_pause.mp3","04_mindful_pause.mp3",NO
Mental SharpnessVIP3.json,"01_mental_exercises.mp3","01_mental_exercises.mp3",NO
Mental SharpnessVIP3.json,"02_improving_focus.mp3","02_improving_focus.mp3",NO
Mental SharpnessVIP3.json,"03_memory_enhancement.mp3","03_memory_enhancement.mp3",NO
Mindfulness_Free.json,"mindfulness_free_meditation.mp3","mindfulness_free_meditation.mp3",NO
Mindfulness_Free.json,"mindfulness_free_breathing_exercises.mp3","mindfulness_free_breathing_exercises.mp3",NO
Mindfulness_Free.json,"mindfulness_free_awareness.mp3","mindfulness_free_awareness.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_meditation.mp3","mindfulness_vip1_meditation.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_breathing_exercises.mp3","mindfulness_vip1_breathing_exercises.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_awareness.mp3","mindfulness_vip1_awareness.mp3",NO
Mindfulness_VIP1.json,"mindfulness_vip1_emotional_regulation.mp3","mindfulness_vip1_emotional_regulation.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_meditation.mp3","mindfulness_vip2_meditation.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_breathing_exercises.mp3","mindfulness_vip2_breathing_exercises.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_awareness.mp3","mindfulness_vip2_awareness.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_emotional_regulation.mp3","mindfulness_vip2_emotional_regulation.mp3",NO
Mindfulness_VIP2.json,"mindfulness_vip2_community_support.mp3","mindfulness_vip2_community_support.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_meditation.mp3","mindfulness_vip3_meditation.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_breathing_exercises.mp3","mindfulness_vip3_breathing_exercises.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_awareness.mp3","mindfulness_vip3_awareness.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_emotional_regulation.mp3","mindfulness_vip3_emotional_regulation.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_community_support.mp3","mindfulness_vip3_community_support.mp3",NO
Mindfulness_VIP3.json,"mindfulness_vip3_resilience.mp3","mindfulness_vip3_resilience.mp3",NO
OCD Support_Free.json,"ocd_support_free_erp_therapy.mp3","ocd_support_free_erp_therapy.mp3",NO
OCD Support_Free.json,"ocd_support_free_intrusive_thoughts.mp3","ocd_support_free_intrusive_thoughts.mp3",NO
OCD Support_Free.json,"ocd_support_free_support_system.mp3","ocd_support_free_support_system.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_erp_therapy.mp3","ocd_support_vip1_erp_therapy.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_intrusive_thoughts.mp3","ocd_support_vip1_intrusive_thoughts.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_support_system.mp3","ocd_support_vip1_support_system.mp3",NO
OCD Support_VIP1.json,"ocd_support_vip1_mindfulness.mp3","ocd_support_vip1_mindfulness.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_erp_therapy.mp3","ocd_support_vip2_erp_therapy.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_intrusive_thoughts.mp3","ocd_support_vip2_intrusive_thoughts.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_support_system.mp3","ocd_support_vip2_support_system.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_mindfulness.mp3","ocd_support_vip2_mindfulness.mp3",NO
OCD Support_VIP2.json,"ocd_support_vip2_coping_strategies.mp3","ocd_support_vip2_coping_strategies.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_erp_therapy.mp3","ocd_support_vip3_erp_therapy.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_intrusive_thoughts.mp3","ocd_support_vip3_intrusive_thoughts.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_support_system.mp3","ocd_support_vip3_support_system.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_mindfulness.mp3","ocd_support_vip3_mindfulness.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_coping_strategies.mp3","ocd_support_vip3_coping_strategies.mp3",NO
OCD Support_VIP3.json,"ocd_support_vip3_resilience.mp3","ocd_support_vip3_resilience.mp3",NO
PTSD Support_Free.json,"ptsd_support_free_recovery.mp3","ptsd_support_free_recovery.mp3",NO
PTSD Support_Free.json,"ptsd_support_free_emdr_therapy.mp3","ptsd_support_free_emdr_therapy.mp3",NO
PTSD Support_Free.json,"ptsd_support_free_grounding_techniques.mp3","ptsd_support_free_grounding_techniques.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_recovery.mp3","ptsd_support_vip1_recovery.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_emdr_therapy.mp3","ptsd_support_vip1_emdr_therapy.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_grounding_techniques.mp3","ptsd_support_vip1_grounding_techniques.mp3",NO
PTSD Support_VIP1.json,"ptsd_support_vip1_support_system.mp3","ptsd_support_vip1_support_system.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_recovery.mp3","ptsd_support_vip2_recovery.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_emdr_therapy.mp3","ptsd_support_vip2_emdr_therapy.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_grounding_techniques.mp3","ptsd_support_vip2_grounding_techniques.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_support_system.mp3","ptsd_support_vip2_support_system.mp3",NO
PTSD Support_VIP2.json,"ptsd_support_vip2_mindfulness.mp3","ptsd_support_vip2_mindfulness.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_recovery.mp3","ptsd_support_vip3_recovery.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_emdr_therapy.mp3","ptsd_support_vip3_emdr_therapy.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_grounding_techniques.mp3","ptsd_support_vip3_grounding_techniques.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_support_system.mp3","ptsd_support_vip3_support_system.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_mindfulness.mp3","ptsd_support_vip3_mindfulness.mp3",NO
PTSD Support_VIP3.json,"ptsd_support_vip3_resilience.mp3","ptsd_support_vip3_resilience.mp3",NO
Relationship Healing_Free.json,"relationship_healing_free_communication.mp3","relationship_healing_free_communication.mp3",NO
Relationship Healing_Free.json,"relationship_healing_free_trust_building.mp3","relationship_healing_free_trust_building.mp3",NO
Relationship Healing_Free.json,"relationship_healing_free_emotional_connection.mp3","relationship_healing_free_emotional_connection.mp3",NO
Relationship Healing_VIP1.json,"relationship_healing_vip1_communication.mp3","relationship_healing_vip1_communication.mp3",NO
Relationship Healing_VIP1.json,"relationship_healing_vip1_trust_building.mp3","relationship_healing_vip1_trust_building.mp3",NO
Relationship Healing_VIP1.json,"relationship_healing_vip1_emotional_connection.mp3","relationship_healing_vip1_emotional_connection.mp3",NO
Relationship Healing_VIP1.json,"relationship_healing_vip1_conflict_resolution.mp3","relationship_healing_vip1_conflict_resolution.mp3",NO
Relationship Healing_VIP2.json,"relationship_healing_vip2_communication.mp3","relationship_healing_vip2_communication.mp3",NO
Relationship Healing_VIP2.json,"relationship_healing_vip2_trust_building.mp3","relationship_healing_vip2_trust_building.mp3",NO
Relationship Healing_VIP2.json,"relationship_healing_vip2_emotional_connection.mp3","relationship_healing_vip2_emotional_connection.mp3",NO
Relationship Healing_VIP2.json,"relationship_healing_vip2_conflict_resolution.mp3","relationship_healing_vip2_conflict_resolution.mp3",NO
Relationship Healing_VIP2.json,"relationship_healing_vip2_boundaries.mp3","relationship_healing_vip2_boundaries.mp3",NO
Relationship Healing_VIP3.json,"relationship_healing_vip3_communication.mp3","relationship_healing_vip3_communication.mp3",NO
Relationship Healing_VIP3.json,"relationship_healing_vip3_trust_building.mp3","relationship_healing_vip3_trust_building.mp3",NO
Relationship Healing_VIP3.json,"relationship_healing_vip3_emotional_connection.mp3","relationship_healing_vip3_emotional_connection.mp3",NO
Relationship Healing_VIP3.json,"relationship_healing_vip3_conflict_resolution.mp3","relationship_healing_vip3_conflict_resolution.mp3",NO
Relationship Healing_VIP3.json,"relationship_healing_vip3_boundaries.mp3","relationship_healing_vip3_boundaries.mp3",NO
Relationship Healing_VIP3.json,"relationship_healing_vip3_forgiveness.mp3","relationship_healing_vip3_forgiveness.mp3",NO
Self Love_Free.json,"self_love_free_self_acceptance.mp3","self_love_free_self_acceptance.mp3",NO
Self Love_Free.json,"self_love_free_positive_self_talk.mp3","self_love_free_positive_self_talk.mp3",NO
Self Love_Free.json,"self_love_free_self_care.mp3","self_love_free_self_care.mp3",NO
Self Love_VIP1.json,"self_love_vip1_self_acceptance.mp3","self_love_vip1_self_acceptance.mp3",NO
Self Love_VIP1.json,"self_love_vip1_positive_self_talk.mp3","self_love_vip1_positive_self_talk.mp3",NO
Self Love_VIP1.json,"self_love_vip1_care.mp3","self_love_vip1_care.mp3",NO
Self Love_VIP1.json,"self_love_vip1_emotional_resilience.mp3","self_love_vip1_emotional_resilience.mp3",NO
Self Love_VIP2.json,"self_love_vip2_acceptance.mp3","self_love_vip2_acceptance.mp3",NO
Self Love_VIP2.json,"self_love_vip2_talk.mp3","self_love_vip2_talk.mp3",NO
Self Love_VIP2.json,"self_love_vip2_care.mp3","self_love_vip2_care.mp3",NO
Self Love_VIP2.json,"self_love_vip2_resilience.mp3","self_love_vip2_resilience.mp3",NO
Self Love_VIP2.json,"self_love_vip2_boundaries.mp3","self_love_vip2_boundaries.mp3",NO
Self Love_VIP3.json,"self_love_vip3_acceptance.mp3","self_love_vip3_acceptance.mp3",NO
Self Love_VIP3.json,"self_love_vip3_talk.mp3","self_love_vip3_talk.mp3",NO
Self Love_VIP3.json,"self_love_vip3_care.mp3","self_love_vip3_care.mp3",NO
Self Love_VIP3.json,"self_love_vip3_resilience.mp3","self_love_vip3_resilience.mp3",NO
Self Love_VIP3.json,"self_love_vip3_boundaries.mp3","self_love_vip3_boundaries.mp3",NO
Self Love_VIP3.json,"self_love_vip3_growth.mp3","self_love_vip3_growth.mp3",NO
Shadow Work_Free.json,"/audio/en/Identifying_Hidden_Traits_Free.mp3","Identifying_Hidden_Traits_Free.mp3",NO
Shadow Work_Free.json,"/audio/en/Integrating_Shadow_Parts_Free.mp3","Integrating_Shadow_Parts_Free.mp3",NO
Shadow Work_Free.json,"/audio/en/Reflecting_on_Shadows_Free.mp3","Reflecting_on_Shadows_Free.mp3",NO
Shadow Work_Free.json,"/audio/en/Forgiving_Shadow_Self_Free.mp3","Forgiving_Shadow_Self_Free.mp3",NO
Shadow Work_Free.json,"/audio/en/Awareness_of_Triggers_Free.mp3","Awareness_of_Triggers_Free.mp3",NO
Shadow Work_Free.json,"/audio/en/Embracing_Inner_Wholeness_Free.mp3","Embracing_Inner_Wholeness_Free.mp3",NO
Shadow Work_VIP1.json,"/audio/en/Recognizing_Hidden_Aspects_VIP1.mp3","Recognizing_Hidden_Aspects_VIP1.mp3",NO
Shadow Work_VIP1.json,"/audio/en/Embracing_Shadow_Integration_VIP1.mp3","Embracing_Shadow_Integration_VIP1.mp3",NO
